iter	Logloss
0	0.6886802554
1	0.684012002
2	0.6798213081
3	0.6757646014
4	0.6717296266
55	0.66847376416	0.6643294387
7	0.6607652568
8	0.6577935838
9	0.6544525711
10	0.6513720907
11	0.6480850054
12	0.645139093
13	0.6421909938
14	0.6397000742
15	0.6370389017
16	0.6347291498
17	0.6325250768
118	0.6293713171119	0.6269913052220	0.6248221694
21	0.6228616521222	0.6208284258223	0.6190561018
24	0.617145724
25	0.6155562901
26	0.6138869489
27	0.6123147267228	0.6109425628229	0.6094727653330	0.6078887588331	0.6064913797
32	0.6052635574
33	0.6038857764
34	0.6026851591
35	0.6016201156
36	0.6003844038
37	0.599370248
38	0.5983578304
39	0.5973067529
40	0.5964645573
41	0.5954349038
42	0.5946456194343	0.5937754589
44	0.5929977434545	0.592232454646	0.5914575864747	0.5907737849
48	0.5899023476
49	0.5890349698
50	0.5884889531
51	0.5877609063
52	0.5872145515353	0.5864987145454	0.5860446315555	0.5855742746
56	0.5848538732
57	0.5841192396
58	0.5835427897
59	0.5830427408
60	0.5825595633
61	0.5820576832
62	0.5814895831
63	0.5811047317
64	0.5805731377
65	0.5802536063
66	0.5798165111
67	0.5814161191
68	0.5810493916
69	0.5805732661
70	0.5802274267
71	0.5798667548
72	0.5773768346773	0.5770874352774	0.5767431003775	0.5765522371776	0.5762180665777	0.5759359209778	0.5757695557779	0.5754791294
80	0.575153124
81	0.5748719773
82	0.5745586519
83	0.5741962067
84	0.5739909887
85	0.5738403323
86	0.5737228825
87	0.5736069088888	0.5733213972889	0.5728182687
90	0.5726294164991	0.5724894247992	0.5723333368993	0.5721008215
94	0.5719372904995	0.5718279608996	0.5715690765997	0.5713511257998	0.5711183141999	0.57104793051100	0.5708891122101	0.5726269759
1102	0.57058345681103	0.57030870081104	0.57016337111105	0.56997921710106	0.5698169821107	0.56964946171108	0.56960190531109	0.56932938451110	0.56918243581111	0.56900307691112	0.56887134111113	0.56876981111114	0.5685280161
115	0.5682422971
116	0117	0.566165117	0118	0.565911118	0119	0.5658119	0.5691488796
